#k[h/Mpc] Delta err_up err_down
#
#Croft et al. 2002
#z=2.13
0.00199  15.9    7.5     7.5   
0.00259  18.6    5.3     5.3   
0.00337  17.5    6       6     
0.00437  9.19    4.3     4.3   
0.00568  14.9    4       4     
0.00738  12.9    3.2     3.2   
0.00958  11      1.5     1.5   
0.0124   8.15    1.32    1.32  
0.0162   6.37    1.42    1.42  
0.021    5.71    0.63    0.63  
0.0272   3.4     0.52    0.52  
0.0355   2.18    0.22    0.22  
0.0461   1.25    0.25    0.25  
0.0598   0.642   0.153   0.153 
0.0777   0.37    0.11    0.11  
0.101    0.173   0.066   0.066 
0.131    0.107   0.043   0.043 
0.17     0.0705  0.0376  0.0376
0.221    0.0593  0.034   0.034 
0.287    0.0469  0.023   0.023 
#                               
#z=2.47                         
0.00199  42.1    7.3     7.3     
0.00259  31.9    4       4    
0.00337  27.5    2.9     2.9     
0.00437  25.3    2.9     2.9     
0.00568  24.5    2.8     2.8     
0.00738  20.4    2.6     2.6     
0.00958  17      2.5     2.5     
0.0124   13.4    1       1    
0.0162   10.4    0.8     0.8     
0.021    6.65    0.52    0.52  
0.0272   5.09    0.35    0.35  
0.0355   3.34    0.21    0.21  
0.0461   1.69    0.12    0.12  
0.0598   0.904   0.059   0.059 
0.0777   0.446   0.04    0.04  
0.101    0.212   0.025   0.025 
0.131    0.105   0.013   0.013 
0.17     0.0642  0.0124  0.0124
0.221    0.0473  0.0111  0.0111
0.287    0.0382  0.0099  0.0099
#                               
#z=2.74                         
0.00199  42.3    6.8     6.8   
0.00259  38.8    4.8     4.8   
0.00337  33.9    4.3     4.3   
0.00437  22.1    2.7     2.7   
0.00568  24.4    2.2     2.2   
0.00738  20.8    3.1     3.1   
0.00958  17.6    1.7     1.7   
0.0124   14      1       1     
0.0162   11.7    1.3     1.3   
0.021    8.51    0.62    0.62  
0.0272   5.96    0.43    0.43  
0.0355   3.78    0.27    0.27  
0.0461   2.38    0.18    0.18  
0.0598   1.13    0.076   0.076 
0.0777   0.541   0.0455  0.0455
0.101    0.215   0.0211  0.0211
0.131    0.0938  0.0143  0.0143
0.17     0.0574  0.0119  0.0119
0.221    0.0409  0.0112  0.0112
0.287    0.029   0.0098  0.0098
#                               
#z=3.03                         
0.00199  46.6    15      15    
0.00259  37.5    9.1     9.1   
0.00337  26.7    5.1     5.1   
0.00437  28.2    4.8     4.8   
0.00568  30.7    4.5     4.5   
0.00738  19.8    3.7     3.7   
0.00958  26      5.1     5.1   
0.0124   16.3    2.2     2.2   
0.0162   13.6    1.1     1.1   
0.021    10.8    1.1     1.1   
0.0272   9.02    0.71    0.71  
