#HS~1700$+$6416     
                   2.32 1.52 +0.60  -0.40   +0.00  -0.00
                   2.44 1.43 +0.22  -0.21   +0.01  -0.00
                   2.48 1.20 +0.21  -0.18   +0.00  -0.00
                   2.52 1.23 +0.21  -0.18   +0.00  -0.00
                   2.56 1.79 +0.16  -0.17   +0.02  -0.00
                   2.60 1.78 +0.08  -0.09   +0.00  -0.00
                   2.64 1.33 +0.04  -0.04   +0.00  -0.00
#HS~1024$+$1849     
                   2.68 1.83 +0.26  -0.23   +0.00  -0.00
                   2.72 2.49 +0.26  -0.20   +0.00  -0.00
                   2.76 2.78 +0.23  -0.19   +0.00  -0.00
#Q~1602$+$576       
                   2.68 1.67 +0.14  -0.13   +0.00  -0.00
                   2.72 1.95 +0.10  -0.10   +0.00  -0.00
                   2.76 1.52 +0.06  -0.06   +0.00  -0.00
                   2.80 2.53 +0.11  -0.11   +0.00  -0.00
#HE~2347$-$4342     
                   2.32 1.08 +0.14  -0.13   +0.00  -0.00
                   2.44 1.51 +0.10  -0.10   +0.00  -0.00
                   2.48 1.21 +0.09  -0.09   +0.00  -0.00
                   2.52 1.32 +0.09  -0.10   +0.00  -0.00
                   2.56 1.60 +0.07  -0.07   +0.00  -0.00
                   2.60 1.25 +0.03  -0.04   +0.00  -0.00
                   2.64 1.48 +0.03  -0.02   +0.00  -0.00
                   2.68 1.88 +0.02  -0.03   +0.00  -0.00
                   2.72 1.80 +0.02  -0.02   +0.00  -0.00
                   2.76 5.05 +0.07  -0.09   +0.02  -0.00
                   2.80 1.93 +0.01  -0.01   +0.00  -0.00
                   2.84 3.42 +0.01  -0.03   +0.01  -0.00
#PC~0058$+$0215     
                   2.68 1.95 +0.37  -0.31   +0.01  -0.00
                   2.72 1.87 +0.22  -0.15   +0.00  -0.01
                   2.76 2.53 +0.22  -0.21   +0.03  -0.00
                   2.80 1.96 +0.13  -0.13   +0.01  -0.00
#SDSS~J0936$+$2927  
                   2.68 2.12 +0.37  -0.32   +0.04  -0.00
                   2.72 1.37 +0.16  -0.11   +0.00  -0.01
