#File/QSO name                z      taueff err_up err_low sensitivity
sdss1237nyquist               2.680  2.076  0.208  0.189  4.135
sdss1237nyquist               2.720  1.993  0.129  0.125  4.540
sdss1237nyquist               2.760  2.186  0.132  0.117  4.741
sdss1237nyquist               2.800  3.389  0.323  0.262  4.879
sdss1237nyquist               2.840  2.215  0.121  0.106  4.977
sdss1237nyquist               2.880  2.975  0.210  0.188  4.932
sdss1237nyquist               2.920  3.003  0.231  0.208  4.803
sdss1237nyquist               3.080  3.235  0.249  0.196  5.034
sdss1101nyquist               2.680  3.453  1.081  0.569  3.811
sdss1101nyquist               2.720  2.762  0.306  0.237  4.311
sdss1101nyquist               2.760  3.678  0.642  0.384  4.513
sdss1101nyquist               2.800  2.765  0.228  0.194  4.596
sdss1101nyquist               2.880  3.187  0.336  0.241  4.624
sdss1101nyquist               2.920  2.746  0.324  0.241  4.295
sdss0924nyquist               2.680  3.312  0.359  0.264  4.759
sdss0924nyquist               2.720  2.003  0.081  0.080  5.258
sdss0924nyquist               2.760  1.689  0.056  0.055  5.488
sdss0924nyquist               2.800  2.403  0.083  0.078  5.597
sdss0924nyquist               2.840  2.672  0.090  0.088  5.674
sdss0924nyquist               2.880  1.914  0.056  0.056  5.681
sdss0924nyquist               2.920  2.593  0.094  0.088  5.583
sdss0818nyquist               2.680  1.497  0.201  0.187  3.573
sdss0818nyquist               2.720  2.073  0.194  0.174  4.073
sdss0818nyquist               2.760  2.092  0.167  0.140  4.306
sdss0818nyquist               2.800  1.959  0.139  0.125  4.436
sdss0818nyquist               2.840  1.875  0.120  0.115  4.510
sdss0818nyquist               2.880  2.441  0.186  0.160  4.521
sdss0936nyquist               2.680  2.192  0.307  0.238  3.816
sdss0936nyquist               2.720  1.465  0.131  0.117  4.168
sdss0936nyquist               2.760  1.840  0.139  0.129  4.379
pc0058nyquist                 2.680  2.053  0.263  0.219  3.851
pc0058nyquist                 2.720  2.027  0.173  0.165  4.225
pc0058nyquist                 2.760  2.720  0.230  0.212  4.495
pc0058nyquist                 2.800  1.953  0.119  0.114  4.598
sdssj1319+5202nyquist         3.200  3.881  0.312  0.236  5.296
sdssj1319+5202nyquist         3.240  3.686  0.279  0.221  5.198
sdssj1319+5202nyquist         3.360  3.708  0.412  0.292  4.853
sdssj1319+5202nyquist         3.400  3.219  0.242  0.194  4.884
sdssj1319+5202nyquist         3.440  2.668  0.225  0.200  4.425
sdssj1319+5202nyquist         3.480  3.703  1.135  0.561  4.102
sdssj1319+5202nyquist         3.520  3.338  0.410  0.301  4.484
sdssj1319+5202nyquist         3.560  4.268  2.142  0.628  4.431
sdssj1319+5202nyquist         3.600  3.722  0.853  0.451  4.304
sdssj1319+5202nyquist         3.640  3.331  0.572  0.383  4.189
sdssj1319+5202nyquist         3.680  3.217  0.543  0.355  4.150
sdssj1319+5202nyquist         3.720  2.765  0.362  0.282  4.027
sdssj1319+5202nyquist         3.760  2.646  0.355  0.281  3.890
sdssj1319+5202nyquist         3.800  2.834  0.544  0.365  3.756
sdssj1319+5202nyquist         3.840  2.292  0.316  0.231  3.710
sdssj1711+6052nyquist         3.160  2.665  0.110  0.104  5.168
sdssj1711+6052nyquist         3.200  3.489  0.224  0.194  5.189
sdssj1711+6052nyquist         3.360  2.695  0.128  0.120  5.066
sdssj1711+6052nyquist         3.400  2.523  0.112  0.102  5.081
sdssj1711+6052nyquist         3.520  3.484  0.334  0.250  4.837
sdssj1711+6052nyquist         3.560  3.368  0.293  0.235  4.846
sdssj1711+6052nyquist         3.600  3.226  0.261  0.217  4.795
sdssj1711+6052nyquist         3.640  3.571  0.400  0.285  4.776
sdssj1711+6052nyquist         3.680  3.659  0.452  0.329  4.725
sdssj1711+6052nyquist         3.720  3.088  0.273  0.224  4.622
sdssj1711+6052nyquist         3.760  3.274  0.341  0.253  4.615
sdssj2346-0016nyquist         3.120  4.330  0.327  0.266  5.704
sdssj2346-0016nyquist         3.160  4.908  0.646  0.375  5.728
sdssj2346-0016nyquist         3.200  5.341  1.226  0.534  5.730
sdssj2346-0016nyquist         3.240  5.128  0.833  0.456  5.741
sdssj2346-0016nyquist         3.360  4.463  0.356  0.262  5.794
sdssj1253+6817nyquist         2.800  2.520  0.113  0.106  5.208
sdssj1253+6817nyquist         2.840  2.726  0.122  0.110  5.310
sdssj1253+6817nyquist         2.880  2.982  0.167  0.143  5.149
sdssj1253+6817nyquist         3.080  2.831  0.140  0.129  5.262
sdssj1253+6817nyquist         3.120  2.983  0.123  0.110  5.540
