#z Q_H Q_H-err Q_H+err Q_He Q_He-err Q_He+err
3.57 1.0 1.0 1.0 1.0 1.0 1.0
3.58 1.0 1.0 1.0 1.0 1.0 1.0
3.59 1.0 1.0 1.0 1.0 1.0 1.0
3.6 1.0 1.0 1.0 1.0 1.0 1.0
3.61 1.0 1.0 1.0 1.0 1.0 1.0
3.62 1.0 1.0 1.0 1.0 1.0 1.0
3.63 1.0 1.0 1.0 1.0 1.0 1.0
3.64 1.0 1.0 1.0 1.0 1.0 1.0
3.65 1.0 1.0 1.0 1.0 1.0 1.0
3.66 1.0 1.0 1.0 1.0 1.0 1.0
3.67 1.0 1.0 1.0 1.0 1.0 1.0
3.68 1.0 1.0 1.0 1.0 1.0 1.0
3.69 1.0 1.0 1.0 1.0 1.0 1.0
3.7 1.0 1.0 1.0 1.0 1.0 1.0
3.71 1.0 1.0 1.0 1.0 1.0 1.0
3.72 1.0 1.0 1.0 1.0 1.0 1.0
3.73 1.0 1.0 1.0 1.0 1.0 1.0
3.74 1.0 1.0 1.0 1.0 1.0 1.0
3.75 1.0 1.0 1.0 1.0 1.0 1.0
3.76 1.0 1.0 1.0 1.0 1.0 1.0
3.77 1.0 1.0 1.0 1.0 1.0 1.0
3.78 1.0 1.0 1.0 1.0 1.0 1.0
3.79 1.0 1.0 1.0 1.0 1.0 1.0
3.8 1.0 1.0 1.0 1.0 1.0 1.0
3.81 1.0 1.0 1.0 1.0 1.0 1.0
3.82 1.0 1.0 1.0 1.0 1.0 1.0
3.83 1.0 1.0 1.0 1.0 1.0 1.0
3.84 1.0 1.0 1.0 1.0 1.0 1.0
3.85 1.0 1.0 1.0 1.0 1.0 1.0
3.86 1.0 1.0 1.0 1.0 1.0 1.0
3.87 1.0 1.0 1.0 1.0 1.0 1.0
3.88 1.0 1.0 1.0 1.0 1.0 1.0
3.89 1.0 1.0 1.0 1.0 1.0 1.0
3.9 1.0 1.0 1.0 1.0 1.0 1.0
3.91 1.0 1.0 1.0 1.0 1.0 1.0
3.92 1.0 1.0 1.0 1.0 1.0 1.0
3.93 1.0 1.0 1.0 1.0 1.0 1.0
3.94 1.0 1.0 1.0 1.0 0.99886073014 1.0
3.95 1.0 1.0 1.0 1.0 0.993123467833 1.0
3.96 1.0 1.0 1.0 1.0 0.987453786524 1.0
3.97 1.0 1.0 1.0 1.0 0.982018485391 1.0
3.98 1.0 1.0 1.0 1.0 0.976583184258 1.0
3.99 1.0 1.0 1.0 1.0 0.971147883125 1.0
4.0 1.0 1.0 1.0 1.0 0.965753991917 1.0
4.01 1.0 1.0 1.0 1.0 0.960469671371 1.0
4.02 1.0 1.0 1.0 1.0 0.955185350825 1.0
4.03 1.0 1.0 1.0 1.0 0.949901030279 1.0
4.04 1.0 1.0 1.0 1.0 0.944616709733 1.0
4.05 1.0 1.0 1.0 1.0 0.939332389187 1.0
4.06 1.0 1.0 1.0 1.0 0.934048068641 1.0
4.07 1.0 1.0 1.0 1.0 0.928763748095 1.0
4.08 1.0 1.0 1.0 1.0 0.923800437289 1.0
4.09 1.0 1.0 1.0 1.0 0.919371673403 1.0
4.1 1.0 1.0 1.0 1.0 0.914942909517 1.0
4.11 1.0 1.0 1.0 1.0 0.91051414563 1.0
4.12 1.0 1.0 1.0 1.0 0.906085381744 1.0
4.13 1.0 1.0 1.0 1.0 0.901281388723 1.0
4.14 1.0 1.0 1.0 1.0 0.896450009938 1.0
4.15 1.0 1.0 1.0 1.0 0.891618631154 1.0
4.16 1.0 1.0 1.0 1.0 0.886787252369 1.0
4.17 1.0 1.0 1.0 1.0 0.881955873584 1.0
4.18 1.0 1.0 1.0 1.0 0.877124494799 1.0
4.19 1.0 1.0 1.0 1.0 0.872293116014 1.0
4.2 1.0 1.0 1.0 1.0 0.86746670642 1.0
4.21 1.0 1.0 1.0 1.0 0.862786308222 1.0
4.22 1.0 1.0 1.0 1.0 0.858105910025 1.0
4.23 1.0 1.0 1.0 1.0 0.853425511827 1.0
4.24 1.0 1.0 1.0 1.0 0.848757702246 1.0
4.25 1.0 1.0 1.0 1.0 0.844228284635 1.0
4.26 1.0 1.0 1.0 1.0 0.839698867024 1.0
4.27 1.0 1.0 1.0 1.0 0.835169449414 1.0
4.28 1.0 1.0 1.0 1.0 0.830660239846 1.0
4.29 1.0 1.0 1.0 1.0 0.826281802823 1.0
4.3 1.0 1.0 1.0 1.0 0.821903365799 1.0
4.31 1.0 1.0 1.0 0.995121157912 0.817524928775 1.0
4.32 1.0 1.0 1.0 0.990161001789 0.813174319221 1.0
4.33 1.0 1.0 1.0 0.985129695886 0.808946862784 1.0
4.34 1.0 1.0 1.0 0.980098389982 0.804719406347 1.0
4.35 1.0 1.0 1.0 0.975067084079 0.800491949911 1.0
4.36 1.0 1.0 1.0 0.970130644549 0.796264493474 1.0
4.37 1.0 1.0 1.0 0.965251802461 0.792037037037 1.0
4.38 1.0 1.0 1.0 0.960372960373 0.7878095806 1.0
4.39 1.0 1.0 1.0 0.955494118285 0.783582124164 1.0
4.4 1.0 1.0 1.0 0.95072369491 0.779440800371 1.0
4.41 1.0 1.0 1.0 0.945997316637 0.775515305108 1.0
4.42 1.0 1.0 1.0 0.941270938364 0.771589809846 1.0
4.43 1.0 1.0 1.0 0.936544560091 0.767664314583 1.0
4.44 1.0 1.0 1.0 0.93194015287 0.763688133572 1.0
4.45 1.0 1.0 1.0 0.927366238413 0.759611657722 1.0
4.46 1.0 1.0 1.0 0.922792323955 0.755535181872 1.0
4.47 1.0 1.0 1.0 0.918218409497 0.751458706023 1.0
4.48 1.0 1.0 1.0 0.91364449504 0.74766079934 1.0
4.49 1.0 1.0 1.0 0.909070580582 0.744305675184 1.0
4.5 1.0 1.0 1.0 0.904496666125 0.740950551028 1.0
4.51 1.0 1.0 1.0 0.899922751667 0.737595426872 1.0
4.52 1.0 1.0 1.0 0.89549791294 0.734240302716 1.0
4.53 1.0 1.0 1.0 0.891076462297 0.730489713775 1.0
4.54 1.0 1.0 1.0 0.886655011655 0.726715199099 1.0
4.55 1.0 1.0 1.0 0.882275347392 0.722940684423 1.0
4.56 1.0 1.0 1.0 0.878480692434 0.719166169748 1.0
4.57 1.0 1.0 1.0 0.874686037477 0.715541641821 1.0
4.58 1.0 1.0 1.0 0.870891382519 0.711918107732 1.0
4.59 1.0 1.0 1.0 0.867096727562 0.708294573643 1.0
4.6 1.0 1.0 1.0 0.862985851358 0.704671039555 1.0
4.61 1.0 1.0 1.0 0.858716864531 0.701047505466 1.0
4.62 1.0 1.0 1.0 0.854447877704 0.697423971377 1.0
4.63 1.0 1.0 1.0 0.850178890877 0.693800437289 1.0
4.64 1.0 1.0 1.0 0.846140293815 0.690191148214 1.0
4.65 1.0 1.0 1.0 0.842176234618 0.686718594713 1.0
4.66 1.0 1.0 1.0 0.838212175421 0.683246041211 1.0
4.67 1.0 1.0 1.0 0.834248116225 0.67977348771 1.0
4.68 1.0 1.0 1.0 0.830155309806 0.676322798648 1.0
4.69 1.0 1.0 1.0 0.826038786795 0.673001225734 1.0
4.7 1.0 1.0 1.0 0.821922263783 0.669679652819 1.0
4.71 1.0 1.0 1.0 0.817805740771 0.666358079905 1.0
4.72 1.0 1.0 1.0 0.81383151732 0.66303650699 1.0
4.73 1.0 1.0 1.0 0.809867458123 0.659714934075 1.0
4.74 1.0 1.0 1.0 0.805903398927 0.656393361161 1.0
4.75 1.0 1.0 1.0 0.801942727815 0.653071788246 1.0
4.76 1.0 1.0 1.0 0.798131132433 0.649750215332 1.0
4.77 1.0 1.0 1.0 0.794319537052 0.646428642417 0.996366527529
4.78 1.0 1.0 1.0 0.790507941671 0.643107069502 0.991535148744
4.79 1.0 1.0 1.0 0.786713286713 0.639785496588 0.98670376996
4.8 1.0 1.0 1.0 0.783054155147 0.636553369112 0.981917113894
4.81 1.0 1.0 1.0 0.779395023581 0.633533757371 0.977236715696
4.82 1.0 1.0 1.0 0.775735892015 0.63051414563 0.972556317498
4.83 1.0 1.0 1.0 0.772076760449 0.62749453389 0.9678759193
4.84 1.0 1.0 1.0 0.768417628883 0.624422580004 0.963300205393
4.85 1.0 1.0 1.0 0.764758497317 0.621251987676 0.958921768369
4.86 1.0 1.0 1.0 0.761099365751 0.618081395349 0.954543331346
4.87 1.0 1.0 1.0 0.757440234184 0.614910803021 0.950164894322
4.88 1.0 1.0 1.0 0.753781102618 0.611986719377 0.945926367632
4.89 1.0 1.0 1.0 0.750121971052 0.609436825018 0.941900218644
4.9 1.0 1.0 1.0 0.746462839486 0.60688693066 0.937874069657
4.91 1.0 1.0 1.0 0.742861305361 0.604337036301 0.93384792067
4.92 1.0 1.0 1.0 0.73935463761 0.601787141942 0.929821771682
4.93 1.0 1.0 1.0 0.73584796986 0.598789173789 0.925603591069
4.94 1.0 1.0 1.0 0.732341302109 0.595769562049 0.921376134632
4.95 1.0 1.0 1.0 0.729079705824 0.592749950308 0.917148678195
4.96 1.0 1.0 1.0 0.726098191214 0.589731663685 0.912921221758
4.97 1.0 1.0 1.0 0.723116676605 0.587014013119 0.908693765322
4.98 1.0 1.0 1.0 0.720135161996 0.584296362552 0.904466308885
4.99 1.0 1.0 1.0 0.717128801431 0.581578711986 0.900238852448
5.0 1.0 1.0 1.0 0.713774597496 0.578852779434 0.896019677996
5.01 1.0 1.0 1.0 0.71042039356 0.575984148281 0.891943202147
5.02 1.0 1.0 1.0 0.707066189624 0.573115517127 0.887866726297
5.03 1.0 1.0 1.0 0.703711985689 0.570246885974 0.883790250447
5.04 1.0 1.0 1.0 0.700357781753 0.567394156231 0.879713774598
5.05 1.0 1.0 1.0 0.697003577818 0.564676505665 0.875637298748
5.06 1.0 1.0 1.0 0.693649373882 0.561958855098 0.871560822898
5.07 1.0 1.0 1.0 0.690332438879 0.559241204532 0.867484347048
5.08 1.0 1.0 1.0 0.687130698759 0.556547074803 0.863431392036
5.09 1.0 1.0 1.0 0.683928958638 0.553980404823 0.859505896773
5.1 1.0 1.0 1.0 0.680727218518 0.551413734844 0.855580401511
5.11 1.0 1.0 1.0 0.677576299669 0.548847064865 0.851654906248
5.12 1.0 1.0 1.0 0.674527023364 0.546280394885 0.847760551249
5.13 1.0 1.0 1.0 0.671477747059 0.543713724906 0.843986036573
5.14 1.0 1.0 1.0 0.668428470754 0.541147054926 0.840211521898
5.15 1.0 1.0 1.0 0.665314820838 0.538580384947 0.836437007222
5.16 1.0 1.0 1.0 0.662113080718 0.536013714967 0.832662492546
5.17 1.0 1.0 1.0 0.658911340597 0.533447044988 0.828887977871
5.18 1.0 1.0 1.0 0.655709600477 0.530880375008 0.825113463195
5.19 1.0 1.0 1.0 0.652663712257 0.528313705029 0.821338948519
5.2 1.0 1.0 1.0 0.649766899767 0.525793414166 0.817564433844
5.21 1.0 1.0 1.0 0.646870087277 0.523377724773 0.813789919168
5.22 1.0 1.0 1.0 0.643973274787 0.520962035381 0.810015404492
5.23 1.0 1.0 1.0 0.641076462297 0.518546345988 0.806240889816
5.24 1.0 1.0 1.0 0.638179649808 0.516226654004 0.802664369796
5.25 1.0 1.0 1.0 0.635282837318 0.514079374545 0.799443450606
5.26 1.0 1.0 1.0 0.632386024828 0.511932095085 0.796222531416
5.27 1.0 1.0 1.0 0.629489212338 0.509784815625 0.793001612226
5.28 1.0 1.0 1.0 0.626592399848 0.507637536165 0.789780693037
5.29 1.0 1.0 1.0 0.623695587358 0.505244815477 0.786329672696
5.3 1.0 1.0 1.0 0.620798774869 0.502829126085 0.782857119194
5.31 1.0 1.0 1.0 0.618152304199 0.500413436693 0.779384565693
5.32 1.0 1.0 1.0 0.615577359763 0.4979977473 0.775912012191
5.33 1.0 1.0 1.0 0.613002415328 0.495727738024 0.772439458689
5.34 1.0 1.0 1.0 0.610427470893 0.493463029219 0.768966905188
5.35 1.0 1.0 1.0 0.6077885293 0.491198320413 0.765494351686
5.36 1.0 1.0 1.0 0.605044180626 0.488935930564 0.76202411714
5.37 1.0 1.0 1.0 0.602299831951 0.486822202345 0.758702544226
5.38 1.0 1.0 1.0 0.599555483276 0.484708474127 0.755380971311
5.39 1.0 1.0 1.0 0.596882284382 0.482594745909 0.752059398397
5.4 1.0 1.0 1.0 0.594290399523 0.480471079308 0.748737825482
5.41 1.0 1.0 1.0 0.591698514664 0.478206370503 0.745416252567
5.42 1.0 1.0 1.0 0.589106629804 0.475941661697 0.742094679653
5.43 1.0 1.0 1.0 0.586430042825 0.473676952892 0.738773106738
5.44 1.0 1.0 1.0 0.583685694151 0.471429801895 0.735451533824
5.45 1.0 1.0 1.0 0.580941345476 0.469316073677 0.732129960909
5.46 1.0 1.0 1.0 0.578196996802 0.467202345458 0.728808387994
5.47 1.0 1.0 1.0 0.575550902586 0.46508861724 0.72548681508
5.48 1.0 1.0 1.0 0.572959017726 0.462974889021 0.7221904194
5.49 1.0 1.0 1.0 0.570367132867 0.460861160803 0.719019827072
5.5 1.0 1.0 1.0 0.567775248008 0.458747432585 0.715849234745
5.51 1.0 1.0 1.0 0.565295169946 0.456633704366 0.712678642417
5.52 1.0 0.996001788909 1.0 0.562855748902 0.454552772809 0.70954084675
5.53 1.0 0.991321390711 1.0 0.560416327858 0.452590025177 0.70652123501
5.54 1.0 0.986640992513 1.0 0.557976906814 0.450627277546 0.703501623269
5.55 1.0 0.981960594315 1.0 0.55553748577 0.448664529915 0.700482011529
5.56 1.0 0.977320612204 1.0 0.553098064726 0.446701782283 0.697462399788
5.57 1.0 0.972791194594 1.0 0.550658643682 0.444739034652 0.694442788047
5.58 1.0 0.968261776983 1.0 0.548219222638 0.44277628702 0.691423176307
5.59 1.0 0.963732359372 1.0 0.545779801594 0.440813539389 0.688403564566
5.6 1.0 0.959250977274 1.0 0.54334038055 0.438850791758 0.685383952826
5.61 0.995717400332 0.95487254025 1.0 0.540900959506 0.436888044126 0.682364341085
5.62 0.991434800664 0.950494103227 1.0 0.538461538462 0.434925296495 0.679344729345
5.63 0.987152200997 0.946115666203 1.0 0.536022117417 0.432962548864 0.676325117604
5.64 0.982758460048 0.941966032819 1.0 0.533582696373 0.4310801917 0.673478654564
5.65 0.978261730397 0.938208293764 1.0 0.531143275329 0.429335527139 0.670928760205
5.66 0.973765000745 0.934450554709 1.0 0.528717406624 0.427590862578 0.668378865847
5.67 0.969268271094 0.930692815654 1.0 0.526430449396 0.425846198017 0.665828971488
5.68 0.964771541443 0.926935076599 1.0 0.524143492167 0.424101533456 0.663279077129
5.69 0.960274811792 0.922742662161 1.0 0.521856534938 0.422294772411 0.660434224475
5.7 0.955778082141 0.918515205725 1.0 0.519614752173 0.420483005367 0.657565593321
5.71 0.95128135249 0.914287749288 1.0 0.517581901303 0.418671238322 0.654696962168
5.72 0.946868943798 0.910060292851 1.0 0.515549050433 0.416859471278 0.651828331014
5.73 0.942522105136 0.905832836414 1.0 0.513516199563 0.415047704234 0.648959699861
5.74 0.938175266473 0.901605379978 1.0 0.511483348693 0.413235937189 0.646091068707
5.75 0.93382842781 0.897377923541 1.0 0.509371442511 0.411424170145 0.643222437554
5.76 0.929569171139 0.893154442457 1.0 0.507236949097 0.409612403101 0.640357781753
5.77 0.925372223465 0.889077966607 1.0 0.505102455684 0.407800636056 0.637640131187
5.78 0.92117527579 0.885001490757 0.997497382893 0.50296796227 0.405988869012 0.63492248062
5.79 0.916978328116 0.880925014908 0.992907573047 0.50070133355 0.404177101968 0.632204830054
5.8 0.912781380441 0.876860133837 0.988322401113 0.498414376321 0.402365334923 0.629487179487
5.81 0.908584432767 0.872934638574 0.983792983502 0.496127419093 0.400553567879 0.626769528921
5.82 0.904387485092 0.869009143311 0.979263565892 0.493840461864 0.398741800835 0.624051878354
5.83 0.900190537418 0.865083648049 0.974734148281 0.491699192281 0.396930033791 0.621334227788
5.84 0.896087693798 0.861158152786 0.97020473067 0.489564698867 0.395137480951 0.618635791427
5.85 0.892040637112 0.857232657523 0.965675313059 0.487430205453 0.393476694494 0.616069121447
5.86 0.887993580426 0.853307162261 0.961145895448 0.485302488209 0.391815908037 0.613502451468
5.87 0.88394652374 0.849381666998 0.956616477837 0.483320458611 0.39015512158 0.610935781488
5.88 0.879899467054 0.845483005367 0.952113893858 0.481338429013 0.388494335122 0.608369111509
5.89 0.875852410368 0.841708490691 0.947735456834 0.479356399415 0.386833548665 0.605802441529
5.9 0.871805353682 0.837933976015 0.943357019811 0.477354041308 0.385172762208 0.60323577155
5.91 0.867758296996 0.83415946134 0.938978582787 0.475219547894 0.38351197575 0.60066910157
5.92 0.863811866428 0.830384946664 0.934634598821 0.47308505448 0.381851189293 0.598102431591
5.93 0.85991470073 0.826610431988 0.930407142384 0.470950561067 0.380190402836 0.595535761611
5.94 0.856017535033 0.822835917313 0.926179685947 0.468849948501 0.378529616378 0.592969091632
5.95 0.852120369335 0.819061402637 0.92195222951 0.466867918903 0.376868829921 0.590402421652
5.96 0.84852332207 0.815328960445 0.917724773074 0.464885889305 0.375250115948 0.587835751673
5.97 0.845059174783 0.811705426357 0.913497316637 0.462903859706 0.373740310078 0.585269081694
5.98 0.841595027496 0.808081892268 0.9092698602 0.460921830108 0.372230504207 0.582702411714
5.99 0.838130880209 0.804458358179 0.905042403763 0.45893980051 0.370720698337 0.580135741735
6.0 0.834605135659 0.800967335851 0.901013714967 0.456957770911 0.3692661057 0.577707104839
6.01 0.83085786095 0.797746416661 0.897390180879 0.454975741313 0.367924056038 0.575559825379
6.02 0.82711058624 0.794525497471 0.89376664679 0.452993711715 0.366582006375 0.573412545919
6.03 0.823363311531 0.791304578281 0.890143112701 0.451011682116 0.365239956713 0.571265266459
6.04 0.819651908169 0.788083659091 0.886519578613 0.449029652518 0.36389790705 0.569117986999
6.05 0.816054524448 0.784639816471 0.882628536408 0.44704762292 0.362407241768 0.566866676605
6.06 0.812457140728 0.78116726297 0.878703041145 0.445239515007 0.360897435897 0.5646019678
6.07 0.808859757007 0.777694709468 0.874777545882 0.443613234311 0.359387630027 0.562337258994
6.08 0.805223240906 0.774222155966 0.87085205062 0.441986953615 0.357877824157 0.560072550189
6.09 0.801475966197 0.770749602465 0.866785181872 0.440360672919 0.356368018287 0.557666467899
6.1 0.797728691488 0.767277048963 0.862708706023 0.438716322437 0.354858212416 0.555250778507
6.11 0.793981416778 0.763804495461 0.858632230173 0.436886756654 0.353348406546 0.552835089114
6.12 0.790318928891 0.76033194196 0.854555754323 0.435057190871 0.351838600676 0.550419399722
6.13 0.786871436158 0.757008381369 0.850777264295 0.433227625088 0.350328794806 0.54815270324
6.14 0.783423943426 0.753686808454 0.847002749619 0.431398059305 0.348818988935 0.545887994435
6.15 0.779976450693 0.75036523554 0.843228234943 0.429568493522 0.347309183065 0.543623285629
6.16 0.776483303518 0.747043662625 0.839453720268 0.427738927739 0.345805008945 0.541358576824
6.17 0.772885919797 0.74372208971 0.835679205592 0.425909361956 0.344446183661 0.539093868018
6.18 0.769288536076 0.740400516796 0.831904690916 0.424079796173 0.343087358378 0.536829159213
6.19 0.765691152355 0.737078943881 0.828130176241 0.42225023039 0.341728533095 0.534564450407
6.2 0.762191599583 0.733757370967 0.824355661565 0.420420664607 0.340356456636 0.532312992778
6.21 0.758893997838 0.730435798052 0.820581146889 0.418591098824 0.338846650765 0.53019926456
6.22 0.755596396094 0.727114225138 0.816806632214 0.416815742397 0.337336844895 0.528085536341
6.23 0.75229879435 0.723792652223 0.813032117538 0.415138640429 0.335827039025 0.525971808123
6.24 0.7489490161 0.720491949911 0.809278473465 0.413461538462 0.334338103757 0.523837209302
6.25 0.745501523368 0.717321357583 0.805654939376 0.411784436494 0.332979278473 0.521572500497
6.26 0.742054030635 0.714150765255 0.802031405287 0.41003957283 0.33162045319 0.519307791692
6.27 0.738606537903 0.710980172928 0.798407871199 0.408210007047 0.330261627907 0.517043082886
6.28 0.735214482707 0.7078095806 0.79478433711 0.406380441264 0.328902802624 0.514806864109
6.29 0.731916880963 0.704638988273 0.791160803021 0.404550875481 0.32754397734 0.512693135891
6.3 0.728619279219 0.701468395945 0.787537268933 0.402802623733 0.326185152057 0.510579407672
6.31 0.725321677475 0.698297803618 0.783913734844 0.401125521765 0.324826326774 0.508465679454
6.32 0.722082774299 0.695163320745 0.78032631021 0.399448419797 0.323503610945 0.50638806069
6.33 0.718935063544 0.692143709004 0.776853756708 0.397771317829 0.322295766249 0.504425313059
6.34 0.715787352788 0.689124097264 0.773381203207 0.396189082236 0.321087921553 0.502462565428
6.35 0.712639642032 0.686104485523 0.769908649705 0.394664444083 0.319880076857 0.500499817796
6.36 0.709581428477 0.683084873783 0.766436096204 0.393139805931 0.31862850328 0.498493341284
6.37 0.706650226926 0.680065262042 0.762963542702 0.391615167778 0.317269677996 0.496379613066
6.38 0.703719025376 0.677045650301 0.7594909892 0.389982110912 0.315910852713 0.494265884847
6.39 0.700787823826 0.674026038561 0.756018435699 0.388305008945 0.31455202743 0.492152156629
6.4 0.697856622275 0.67112053417 0.752677105649 0.386627906977 0.313290193394 0.490163946495
6.41 0.6948629435 0.668436434845 0.749590391425 0.384950805009 0.312216553664 0.488419281934
6.42 0.691865123733 0.66575233552 0.746503677201 0.383395674093 0.311142913934 0.486674617372
6.43 0.688867303965 0.663068236195 0.743416962978 0.381871035941 0.310069274204 0.484929952811
6.44 0.685869484198 0.66038413687 0.740330248754 0.380346397788 0.308995634474 0.48318528825
6.45 0.682727829644 0.657534535878 0.737032896045 0.378821759636 0.307801629895 0.481245030809
6.46 0.679580118888 0.654665904724 0.73371132313 0.377447703029 0.306593785198 0.479282283178
6.47 0.676432408132 0.651797273571 0.730389750215 0.376092469116 0.305385940502 0.477319535546
6.48 0.673284697376 0.648928642417 0.727068177301 0.374737235202 0.304178095806 0.475356787915
6.49 0.670284082439 0.646060011264 0.723746604386 0.373382001289 0.30297025111 0.473394040284
6.5 0.667286262671 0.64319138011 0.720425031472 0.371943947525 0.301762406414 0.471431292652
6.51 0.664288442904 0.640322748956 0.717103458557 0.370419309373 0.300554561717 0.469468545021
6.52 0.661291088998 0.637454117803 0.713781885642 0.36889467122 0.299346717021 0.46750579739
6.53 0.658443160219 0.634585486649 0.710610962035 0.367370033068 0.298138872325 0.465693699066
6.54 0.65559523144 0.631716855496 0.707440369708 0.365845394915 0.296931027629 0.463881932021
6.55 0.652747302661 0.628848224342 0.70426977738 0.364320756763 0.295723182932 0.462070164977
6.56 0.649895646989 0.625986881336 0.701099185053 0.36279611861 0.294515338236 0.460251109786
6.57 0.646897827221 0.623269230769 0.697928592725 0.361271480458 0.29330749354 0.458288362155
6.58 0.643900007454 0.620551580203 0.694758000398 0.359746842305 0.292099648844 0.456325614523
6.59 0.640902187686 0.617833929636 0.69158740807 0.358222204152 0.290891804148 0.454362866892
6.6 0.637911355844 0.61511627907 0.688431723315 0.356697566 0.289698867024 0.452415026834
6.61 0.635063427065 0.612398628503 0.685412111575 0.355172927847 0.288642002915 0.450603259789
6.62 0.632215498286 0.609680977937 0.682392499834 0.353763484577 0.287585138806 0.448791492745
6.63 0.629367569507 0.60696332737 0.679372888094 0.35239131024 0.286528274697 0.446979725701
6.64 0.626529889684 0.604268203803 0.676353276353 0.351019135903 0.285448883588 0.445190485656
6.65 0.623831851893 0.601701533824 0.673333664613 0.349646961566 0.284241038892 0.443529699198
6.66 0.621133814103 0.599134863844 0.670314052872 0.348146040007 0.283033194196 0.441868912741
6.67 0.618435776312 0.596568193865 0.667294441132 0.346621401854 0.2818253495 0.440208126284
6.68 0.615724228533 0.59397137746 0.664274829391 0.345096763701 0.280647651229 0.438517193401
6.69 0.612876299754 0.591253726893 0.661255217651 0.343572125549 0.27959078712 0.436705426357
6.7 0.610028370975 0.588536076327 0.65823560591 0.342189786957 0.278533923011 0.434893659312
6.71 0.607180442196 0.58581842576 0.65521599417 0.34081761262 0.277477058901 0.433081892268
6.72 0.604349284437 0.583138541046 0.652234148281 0.339445438283 0.276420194792 0.431307891075
6.73 0.601651246646 0.580571871066 0.649365517127 0.338073263945 0.275363330683 0.429647104618
6.74 0.598953208855 0.578005201087 0.646496885974 0.336701089608 0.274306466574 0.427986318161
6.75 0.596255171064 0.575438531107 0.64362825482 0.335328915271 0.273249602465 0.426325531703
6.76 0.593615003644 0.572917246406 0.640759623667 0.333956740933 0.272192738356 0.424619359968
6.77 0.591349984264 0.570501557013 0.637890992513 0.33260150702 0.271135874246 0.422807592924
6.78 0.589084964884 0.568085867621 0.63502236136 0.331381796498 0.270079010137 0.42099582588
6.79 0.586819945505 0.565670178228 0.632153730206 0.330162085976 0.269022146028 0.419184058835
